work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,MI,FT,Scientist,30400000,CLP,40038,CL,100,CL,L
2021,MI,FT,Finance,11000000,HUF,36259,HU,50,US,L
2020,MI,FT,Scientist,11000000,HUF,35735,HU,50,HU,L
2021,MI,FT,Engineer,8500000,JPY,77364,JP,50,JP,S
2022,SE,FT,Engineer,7500000,INR,95386,IN,50,IN,L
2021,MI,FT,Engineer,7000000,JPY,63711,JP,50,JP,S
2021,SE,FT,IT,7000000,INR,94665,IN,50,IN,L
2022,EN,FT,Scientist,6600000,HUF,17684,HU,100,HU,M
2022,EX,FT,Other,6000000,INR,76309,IN,50,IN,L
2022,EN,FT,Engineer,5500000,JPY,41809,JP,50,JP,L
2023,MI,FT,IT,5000000,INR,60805,IN,50,IN,L
2023,EN,FT,Public Relations,4950806,INR,60207,IN,0,IN,S
2021,SE,FT,Engineer,4900000,INR,66265,IN,0,IN,L
2022,SE,FT,Scientist,4460000,INR,56723,IN,0,IN,L
2020,EN,FT,Engineer,4450000,JPY,41689,JP,100,JP,S
2022,MI,FT,Scientist,4200000,INR,53416,IN,100,ID,L
2023,EN,FT,Scientist,4000000,INR,48644,IN,100,DE,L
2021,SE,FT,Scientist,4000000,INR,54094,IN,100,IN,L
2021,SE,FT,IT,4000000,INR,54094,IN,50,US,L
2023,SE,FT,IT,3600000,INR,43779,IN,100,IN,L
2024,MI,FT,Finance,3300000,INR,39615,IN,50,IN,L
2023,MI,FT,IT,3200000,INR,38915,IN,50,IN,L
2023,MI,FT,IT,3200000,INR,38915,IN,50,IN,M
2023,SE,FT,IT,3000000,INR,36483,IN,50,IN,L
2022,SE,FT,Public Relations,3000000,INR,38154,IN,100,IN,L
2021,SE,FT,Scientist,3000000,INR,40570,IN,50,IN,L
2020,MI,FT,Scientist,3000000,INR,40481,IN,0,IN,L
2022,MI,FT,Engineer,2800000,INR,35610,IN,50,IN,L
2023,MI,FT,Engineer,2700000,INR,32834,IN,100,IN,M
2022,MI,FT,Scientist,2500000,INR,31795,IN,100,US,M
2021,MI,FT,Scientist,2500000,INR,33808,IN,0,IN,M
2022,MI,FL,Scientist,2400000,INR,30523,IN,100,IN,S
2022,MI,FT,Scientist,2400000,INR,30523,IN,100,IN,L
2024,MI,FT,Engineer,2300000,INR,27611,IN,100,IN,L
2021,EN,FT,Engineer,2250000,INR,30428,IN,100,IN,L
2021,EN,FT,Scientist,2200000,INR,29751,IN,50,IN,L
2021,EN,FT,Scientist,2100000,INR,28399,IN,100,IN,M
2023,EN,FT,Engineer,2000000,INR,24322,IN,100,CH,L
2023,MI,FT,Engineer,2000000,INR,24322,IN,50,IN,L
2022,EN,FT,Scientist,1800000,INR,22892,IN,50,IN,M
2021,SE,FT,Engineer,1799997,INR,24342,IN,100,IN,L
2023,EN,FT,Finance,1700000,INR,20673,IN,50,IN,L
